project_id,project_name,project_type,region,status,budget,planned_start_date,planned_end_date,lead_subcontractor_id
PRJ-0001,Project 1 - Commercial,Commercial,Scotland,In Progress,38314207.81,2024-01-04,2025-04-11,SUB-0057
PRJ-0002,Project 2 - Infrastructure,Infrastructure,Scotland,Completed,46596193.67,2024-11-15,2026-01-19,SUB-0093
PRJ-0003,Project 3 - Residential,Residential,South West,Completed,21221110.89,2024-11-10,2025-05-19,SUB-0012
PRJ-0004,Project 4 - Commercial,Commercial,South East,In Progress,44969144.09,2024-11-05,2025-07-07,SUB-0093
PRJ-0005,Project 5 - Residential,Residential,South West,In Progress,8301776.61,2024-09-10,2025-06-19,SUB-0077
PRJ-0006,Project 6 - Industrial,Industrial,Wales,In Progress,19474331.23,2024-02-29,2024-08-18,SUB-0097
PRJ-0007,Project 7 - Commercial,Commercial,Wales,Completed,24228793.42,2024-03-11,2025-06-05,SUB-0073
PRJ-0008,Project 8 - Residential,Residential,Wales,Completed,47584135.67,2024-05-30,2025-10-23,SUB-0014
PRJ-0009,Project 9 - Infrastructure,Infrastructure,Wales,In Progress,29618771.0,2024-04-18,2026-01-08,SUB-0012
PRJ-0010,Project 10 - Renovation,Renovation,London,In Progress,41357275.8,2024-10-01,2025-12-21,SUB-0004
PRJ-0011,Project 11 - Infrastructure,Infrastructure,North West,In Progress,45962873.83,2025-01-22,2026-02-21,SUB-0030
PRJ-0012,Project 12 - Infrastructure,Infrastructure,London,Cancelled,44020401.2,2024-11-08,2026-01-28,SUB-0074
PRJ-0013,Project 13 - Renovation,Renovation,London,Cancelled,33451394.44,2024-11-07,2026-07-22,SUB-0029
PRJ-0014,Project 14 - Commercial,Commercial,London,On Hold,1935475.41,2024-09-17,2026-01-23,SUB-0014
PRJ-0015,Project 15 - Industrial,Industrial,South West,In Progress,45576592.24,2024-06-30,2025-01-21,SUB-0025
PRJ-0016,Project 16 - Renovation,Renovation,London,Planning,3057066.89,2024-09-19,2026-07-16,SUB-0029
PRJ-0017,Project 17 - Residential,Residential,Wales,On Hold,3332981.04,2025-01-27,2026-09-19,SUB-0061
PRJ-0018,Project 18 - Industrial,Industrial,Wales,Completed,35056978.81,2024-11-16,2026-10-17,SUB-0067
PRJ-0019,Project 19 - Residential,Residential,Scotland,In Progress,25474284.01,2024-06-27,2024-11-18,SUB-0084
PRJ-0020,Project 20 - Industrial,Industrial,South East,On Hold,8183043.13,2024-10-25,2026-01-16,SUB-0054
PRJ-0021,Project 21 - Residential,Residential,London,Completed,49020136.85,2024-01-22,2024-09-13,SUB-0074
PRJ-0022,Project 22 - Industrial,Industrial,London,Completed,2596352.3,2024-09-01,2025-10-31,SUB-0075
PRJ-0023,Project 23 - Industrial,Industrial,North West,Planning,9584894.83,2024-07-02,2025-12-29,SUB-0089
PRJ-0024,Project 24 - Commercial,Commercial,Scotland,Completed,32002212.93,2025-01-27,2026-05-17,SUB-0038
PRJ-0025,Project 25 - Residential,Residential,Midlands,In Progress,29111852.18,2024-06-27,2025-01-20,SUB-0058
