machine_id,machine_name,machine_type,production_line,install_date
MCH-0001,Machine 1,Injection Molder,Line-B,2016-10-18
MCH-0002,Machine 2,Stamping Press,Line-C,2019-02-19
MCH-0003,Machine 3,Lathe,Line-D,2020-12-20
MCH-0004,Machine 4,Welding Robot,Line-E,2022-07-04
MCH-0005,Machine 5,Assembly Arm,Line-A,2020-05-05
MCH-0006,Machine 6,CNC Mill,Line-B,2024-05-23
MCH-0007,Machine 7,Injection Molder,Line-C,2020-03-03
MCH-0008,Machine 8,Stamping Press,Line-D,2020-11-23
MCH-0009,Machine 9,Lathe,Line-E,2017-10-19
MCH-0010,Machine 10,Welding Robot,Line-A,2019-06-25
MCH-0011,Machine 11,Assembly Arm,Line-B,2022-03-10
MCH-0012,Machine 12,CNC Mill,Line-C,2020-07-05
MCH-0013,Machine 13,Injection Molder,Line-D,2024-09-10
MCH-0014,Machine 14,Stamping Press,Line-E,2024-11-11
MCH-0015,Machine 15,Lathe,Line-A,2023-03-13
MCH-0016,Machine 16,Welding Robot,Line-B,2017-04-07
MCH-0017,Machine 17,Assembly Arm,Line-C,2024-06-05
MCH-0018,Machine 18,CNC Mill,Line-D,2023-02-09
MCH-0019,Machine 19,Injection Molder,Line-E,2019-10-23
MCH-0020,Machine 20,Stamping Press,Line-A,2019-03-19
MCH-0021,Machine 21,Lathe,Line-B,2023-03-22
MCH-0022,Machine 22,Welding Robot,Line-C,2016-10-18
MCH-0023,Machine 23,Assembly Arm,Line-D,2018-10-16
MCH-0024,Machine 24,CNC Mill,Line-E,2020-01-04
MCH-0025,Machine 25,Injection Molder,Line-A,2019-09-18
MCH-0026,Machine 26,Stamping Press,Line-B,2020-01-21
MCH-0027,Machine 27,Lathe,Line-C,2021-07-03
MCH-0028,Machine 28,Welding Robot,Line-D,2021-08-01
MCH-0029,Machine 29,Assembly Arm,Line-E,2024-03-08
MCH-0030,Machine 30,CNC Mill,Line-A,2019-01-07
MCH-0031,Machine 31,Injection Molder,Line-B,2023-04-25
MCH-0032,Machine 32,Stamping Press,Line-C,2018-02-16
MCH-0033,Machine 33,Lathe,Line-D,2024-08-12
MCH-0034,Machine 34,Welding Robot,Line-E,2019-04-05
MCH-0035,Machine 35,Assembly Arm,Line-A,2016-02-21
MCH-0036,Machine 36,CNC Mill,Line-B,2022-09-05
MCH-0037,Machine 37,Injection Molder,Line-C,2024-02-14
MCH-0038,Machine 38,Stamping Press,Line-D,2022-02-11
MCH-0039,Machine 39,Lathe,Line-E,2022-08-17
MCH-0040,Machine 40,Welding Robot,Line-A,2019-05-04
MCH-0041,Machine 41,Assembly Arm,Line-B,2019-11-14
MCH-0042,Machine 42,CNC Mill,Line-C,2022-10-27
MCH-0043,Machine 43,Injection Molder,Line-D,2018-09-22
MCH-0044,Machine 44,Stamping Press,Line-E,2020-01-03
MCH-0045,Machine 45,Lathe,Line-A,2017-06-20
MCH-0046,Machine 46,Welding Robot,Line-B,2017-10-16
MCH-0047,Machine 47,Assembly Arm,Line-C,2020-11-01
MCH-0048,Machine 48,CNC Mill,Line-D,2022-08-12
MCH-0049,Machine 49,Injection Molder,Line-E,2017-08-03
MCH-0050,Machine 50,Stamping Press,Line-A,2021-10-12
