store_id,store_name,city,state,region,store_format
STR-001,Store Houston #1,Houston,TX,South,Street
STR-002,Store Dallas #2,Dallas,TX,South,Outlet
STR-003,Store Phoenix #3,Phoenix,AZ,West,Mall
STR-004,Store Los Angeles #4,Los Angeles,CA,West,Street
STR-005,Store San Diego #5,San Diego,CA,West,Outlet
STR-006,Store Chicago #6,Chicago,IL,Midwest,Mall
STR-007,Store Columbus #7,Columbus,OH,Midwest,Street
STR-008,Store New York #8,New York,NY,Northeast,Outlet
STR-009,Store Boston #9,Boston,MA,Northeast,Mall
STR-010,Store San Antonio #10,San Antonio,TX,South,Street
STR-011,Store Houston #11,Houston,TX,South,Outlet
STR-012,Store Dallas #12,Dallas,TX,South,Mall
STR-013,Store Phoenix #13,Phoenix,AZ,West,Street
STR-014,Store Los Angeles #14,Los Angeles,CA,West,Outlet
STR-015,Store San Diego #15,San Diego,CA,West,Mall
STR-016,Store Chicago #16,Chicago,IL,Midwest,Street
STR-017,Store Columbus #17,Columbus,OH,Midwest,Outlet
STR-018,Store New York #18,New York,NY,Northeast,Mall
STR-019,Store Boston #19,Boston,MA,Northeast,Street
STR-020,Store San Antonio #20,San Antonio,TX,South,Outlet
STR-021,Store Houston #21,Houston,TX,South,Mall
STR-022,Store Dallas #22,Dallas,TX,South,Street
STR-023,Store Phoenix #23,Phoenix,AZ,West,Outlet
STR-024,Store Los Angeles #24,Los Angeles,CA,West,Mall
STR-025,Store San Diego #25,San Diego,CA,West,Street
STR-026,Store Chicago #26,Chicago,IL,Midwest,Outlet
STR-027,Store Columbus #27,Columbus,OH,Midwest,Mall
STR-028,Store New York #28,New York,NY,Northeast,Street
STR-029,Store Boston #29,Boston,MA,Northeast,Outlet
STR-030,Store San Antonio #30,San Antonio,TX,South,Mall
