content_id,title,genre,content_type,release_year,duration_mins,production_cost_bucket,language
CNT-00001,Action Series 1,Action,Series,2016,47,High ($10M-$50M),English
CNT-00002,Sports Live 2,Sports,Live,2022,116,Low (<$1M),English
CNT-00003,Comedy Series 3,Comedy,Series,2016,53,Medium ($1M-$10M),English
CNT-00004,Sports Movie 4,Sports,Movie,2023,166,Medium ($1M-$10M),Japanese
CNT-00005,Action Documentary 5,Action,Documentary,2020,94,Low (<$1M),English
CNT-00006,Sci-Fi Movie 6,Sci-Fi,Movie,2020,155,High ($10M-$50M),Spanish
CNT-00007,Thriller Series 7,Thriller,Series,2022,33,Low (<$1M),English
CNT-00008,Comedy Series 8,Comedy,Series,2016,53,High ($10M-$50M),German
CNT-00009,Sci-Fi Live 9,Sci-Fi,Live,2023,130,Low (<$1M),German
CNT-00010,Drama Movie 10,Drama,Movie,2010,161,High ($10M-$50M),German
CNT-00011,Documentary Series 11,Documentary,Series,2018,48,Low (<$1M),English
CNT-00012,News Series 12,News,Series,2019,50,High ($10M-$50M),French
CNT-00013,Action Movie 13,Action,Movie,2019,136,Medium ($1M-$10M),English
CNT-00014,Action Live 14,Action,Live,2013,34,Low (<$1M),English
CNT-00015,Kids Series 15,Kids,Series,2018,43,High ($10M-$50M),English
CNT-00016,Sci-Fi Movie 16,Sci-Fi,Movie,2010,113,Low (<$1M),German
CNT-00017,Sci-Fi Series 17,Sci-Fi,Series,2025,25,High ($10M-$50M),English
CNT-00018,Comedy Movie 18,Comedy,Movie,2020,149,Medium ($1M-$10M),English
CNT-00019,Drama Documentary 19,Drama,Documentary,2017,93,Low (<$1M),Spanish
CNT-00020,Romance Series 20,Romance,Series,2017,48,Low (<$1M),English
CNT-00021,Comedy Movie 21,Comedy,Movie,2021,126,Medium ($1M-$10M),English
CNT-00022,Drama Live 22,Drama,Live,2021,89,Medium ($1M-$10M),French
CNT-00023,Action Movie 23,Action,Movie,2022,145,Low (<$1M),English
CNT-00024,Kids Movie 24,Kids,Movie,2011,148,Medium ($1M-$10M),English
CNT-00025,Thriller Series 25,Thriller,Series,2019,40,Low (<$1M),Spanish
CNT-00026,News Live 26,News,Live,2011,37,Medium ($1M-$10M),English
CNT-00027,Comedy Series 27,Comedy,Series,2022,40,Medium ($1M-$10M),English
CNT-00028,Documentary Movie 28,Documentary,Movie,2023,116,Blockbuster (>$50M),English
CNT-00029,Drama Series 29,Drama,Series,2011,23,High ($10M-$50M),German
CNT-00030,Documentary Movie 30,Documentary,Movie,2024,142,Low (<$1M),English
CNT-00031,News Live 31,News,Live,2017,74,Medium ($1M-$10M),Spanish
CNT-00032,Sports Series 32,Sports,Series,2014,52,Blockbuster (>$50M),English
CNT-00033,Documentary Documentary 33,Documentary,Documentary,2012,64,High ($10M-$50M),Korean
CNT-00034,Sports Series 34,Sports,Series,2015,36,High ($10M-$50M),German
CNT-00035,Sports Live 35,Sports,Live,2016,41,Blockbuster (>$50M),English
CNT-00036,Documentary Live 36,Documentary,Live,2012,137,Low (<$1M),French
CNT-00037,Documentary Live 37,Documentary,Live,2015,67,Medium ($1M-$10M),English
